realization,protocol,d_collected,F_cond,P_success,Y_weighted
27,matched,6,0.9996847673302189,0.2500788330181874,0.24999999999999933
27,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
28,matched,1,0.569751481735739,0.4387878013732909,0.24999999999999958
28,matched,2,0.8388871147086885,0.2980138753076621,0.24999999999999953
28,matched,3,0.9550377712551874,0.2617697514428454,0.24999999999999947
28,matched,4,0.9882079285122103,0.2529831959316347,0.24999999999999936
28,matched,5,0.9968798070258145,0.2507824897626054,0.2499999999999994
28,matched,6,0.9994103511056668,0.25014749919632073,0.2499999999999994
28,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
29,matched,1,0.5750113382102118,0.4347740355488519,0.24999999999999953
29,matched,2,0.8423844552965332,0.29677660648663734,0.24999999999999956
29,matched,3,0.9566045482406285,0.2613410112462829,0.24999999999999944
29,matched,4,0.9892843222204267,0.2527079368233391,0.24999999999999942
29,matched,5,0.9964440788476007,0.2508921527128018,0.24999999999999933
29,matched,6,0.999578837914809,0.2501053348843566,0.2499999999999993
29,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
30,matched,1,0.5748684230504219,0.43488212254453934,0.24999999999999964
30,matched,2,0.8503492025100463,0.29399686536078795,0.2499999999999995
30,matched,3,0.9596427518757814,0.26051361249937316,0.24999999999999942
30,matched,4,0.990954656055014,0.2522819772553956,0.2499999999999994
30,matched,5,0.9977016050303515,0.2505759224396497,0.2499999999999994
30,matched,6,0.9993354372813448,0.2501662511639887,0.2499999999999994
30,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
31,matched,1,0.5717876354379781,0.4372252642513062,0.2499999999999995
31,matched,2,0.8446763531423591,0.29597134934575975,0.2499999999999995
31,matched,3,0.9556900868817367,0.26159107793584985,0.2499999999999995
31,matched,4,0.9906788654546981,0.25235220889188476,0.24999999999999936
31,matched,5,0.9975290976698619,0.2506192557028931,0.24999999999999936
31,matched,6,0.9991082826657256,0.25022312830094157,0.24999999999999925
31,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
32,matched,1,0.5732334026101809,0.43612252681305874,0.2499999999999995
32,matched,2,0.8448199300987203,0.29592104908176836,0.2499999999999995
32,matched,3,0.9564902845967189,0.26137223140264926,0.24999999999999947
32,matched,4,0.990226068248452,0.2524676011026538,0.24999999999999944
32,matched,5,0.9981784557719652,0.2504562170765907,0.24999999999999942
32,matched,6,0.9992489531794001,0.25018790282897163,0.2499999999999994
32,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
33,matched,1,0.5699748244125469,0.4386158638807701,0.2499999999999995
33,matched,2,0.8462746817226586,0.29541235889404704,0.24999999999999947
33,matched,3,0.9601614744892173,0.26037287127458786,0.24999999999999944
33,matched,4,0.9916042802982499,0.25211670115502693,0.24999999999999942
33,matched,5,0.9979921176265643,0.25050298051907677,0.2499999999999994
33,matched,6,0.9996370996756003,0.25009075801721314,0.24999999999999933
33,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
34,matched,1,0.5709053351970568,0.43790096989321037,0.24999999999999953
34,matched,2,0.8427974718062499,0.2966311698399016,0.2499999999999994
34,matched,3,0.956989020189234,0.2612360170554149,0.24999999999999953
34,matched,4,0.987793529322292,0.25308932745441254,0.24999999999999942
34,matched,5,0.9969164362321856,0.2507732753859156,0.24999999999999944
34,matched,6,0.9994016978309707,0.25014966508720293,0.2499999999999993
34,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
35,matched,1,0.5752133664993329,0.43462133281335985,0.2499999999999997
35,matched,2,0.8470429950818661,0.2951444040639722,0.2499999999999995
35,matched,3,0.957112652310103,0.2612022726860786,0.24999999999999944
35,matched,4,0.9885069041903609,0.252906680712324,0.24999999999999944
35,matched,5,0.9972629341797129,0.25068614447766874,0.24999999999999936
35,matched,6,0.999535639979473,0.25011614393773235,0.2499999999999993
35,matched,7,1.0,0.24999999999999942,0.24999999999999942
36,matched,1,0.5740169683903192,0.43552719478147006,0.2499999999999995
36,matched,2,0.8476619139360089,0.2949289048969497,0.2499999999999995
36,matched,3,0.9562453114226972,0.26143919035592517,0.24999999999999947
36,matched,4,0.989509982171916,0.2526503062164812,0.24999999999999944
36,matched,5,0.9980263629343182,0.25049438500298643,0.2499999999999994
36,matched,6,0.9997057818090239,0.25007357619519854,0.24999999999999947
36,matched,7,1.0,0.24999999999999942,0.24999999999999942
37,matched,1,0.5703060567159544,0.43836111690553925,0.24999999999999956
37,matched,2,0.8481438145950067,0.2947613313897431,0.24999999999999958
37,matched,3,0.9584996743455104,0.260824293102349,0.24999999999999947
37,matched,4,0.9900726622003704,0.25250671950116377,0.2499999999999994
37,matched,5,0.9979694871566829,0.25050866105363095,0.2499999999999994
37,matched,6,0.999472740414243,0.2501318844337704,0.24999999999999922
37,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
38,matched,1,0.5730298386915704,0.4362774555873704,0.24999999999999964
38,matched,2,0.8434171605101495,0.29641322432754924,0.24999999999999953
38,matched,3,0.9521029153796889,0.2625766563274329,0.2499999999999995
38,matched,4,0.9867131903273747,0.2533664315534829,0.2499999999999995
38,matched,5,0.997277663180647,0.2506824420419355,0.24999999999999944
38,matched,6,0.9996197914059832,0.2500950883018931,0.24999999999999933
38,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
39,matched,1,0.5664160415062525,0.44137168032032126,0.24999999999999947
39,matched,2,0.8378123166519642,0.2983961861518587,0.2499999999999995
39,matched,3,0.9558252596484389,0.2615540837369706,0.24999999999999944
