realization,scenario,collected_event,omega_at_infinity,gamma_used_only_in_sampling_law,event_conditioned_transmissivity,S_R_nats,I_QR_nats,A_op
13,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5131875629757414,0.6781303336084425,0.5108323653133608
13,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.518794053452971,1.1981263866742222,0.13573450179344348
13,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.014962197019936,1.3382087935664404,0.03468640492384689
13,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3771491864819225,1.3808556222514576,0.0039232207970891775
13,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599454,1.3862943611198908,-2.220446049250313e-16
14,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6921841117122671,0.010956874931613125,0.9920962854362606
14,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.375321138215884,0.048262054197151016,0.965186286873328
14,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.013668808912904,0.18780073410234088,0.864530406117623
14,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5052601631314073,0.6674583002052388,0.5185306101468625
14,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.5377243211207503,1.2083623098348282,0.12835084400208008
14,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.0266301318129334,1.3435498945231674,0.03083361499226822
14,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3774072391149284,1.3801632047535475,0.0044226944423190195
14,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599454,1.3862943611198906,0.0
15,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6908248165182724,0.00884137992867906,0.9936222925111398
15,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.367131952666265,0.03402905485246155,0.9754532256591076
15,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.00888744418797,0.16491020369311915,0.8810424334699741
15,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5069249735979464,0.6667244378057364,0.5190599799690909
15,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.509161813423583,1.1931340382296884,0.13933571996510274
15,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.015745323407057,1.3425291439292129,0.03156993090220961
15,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.376073021577195,1.3783103578305291,0.005759240976001445
15,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599454,1.3862943611198908,-2.220446049250313e-16
16,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6928005200221758,0.014804366865542207,0.9893209066697907
16,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.373776858106896,0.05914043682648451,0.9573391925372119
16,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.0269989094878733,0.21657831813348105,0.8437717672323773
16,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.515319892930222,0.6883304463858271,0.5034745392531403
16,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.5364652831396817,1.209835613306672,0.1272880801958033
16,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.016749317402992,1.3362018206590445,0.03613412985419617
16,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3734164565729607,1.373601436116589,0.009156009978319446
16,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599453,1.3862943611198906,0.0
17,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6919968635382754,0.016354784473298523,0.9882025167727821
17,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.3724883490374065,0.04860966651008125,0.9649355375933197
17,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.016548575038493,0.19088385517306206,0.8623064043780282
17,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5118849385695268,0.6990410714429642,0.49574845642576393
17,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.4952284230089523,1.1759883070597366,0.15170375063075525
17,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.0050887474838333,1.3388177256702187,0.03424715326066741
17,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3701566774374543,1.3756611996512627,0.007670204659880553
17,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599456,1.38629436111989,4.440892098500626e-16
18,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6854968289934202,0.013549090919832585,0.9902263968607019
18,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.3663610525987755,0.05344774364032956,0.961445602651696
18,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.0113589499344364,0.2064287273734502,0.8510931493606517
18,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5346428434564077,0.7240200353316633,0.4777299427613787
18,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.5427373622240825,1.211787171973318,0.12588032819061634
18,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.017234427619634,1.3438644382338472,0.030606719666497972
18,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.371749101605822,1.3781185901682744,0.005897572103670368
18,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599454,1.3862943611198904,1.1102230246251565e-16
19,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6901244996006025,0.004534966263847862,0.996728713330274
19,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.3717936751520006,0.03173471307964659,0.9771082434079799
19,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.0141762526603304,0.1718249969438177,0.8760544645041964
19,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.524990533034308,0.6803024720356659,0.5092654986448211
19,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.542472050878289,1.2114399874542814,0.12613076888256003
19,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.0261481375630876,1.3457858857175249,0.029220688288482788
19,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3821036743089847,1.3822886104292555,0.002889538328208374
19,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599454,1.3862943611198906,0.0
20,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6918907115161622,0.006137004999820617,0.995573086660424
20,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.376704350442739,0.0334661339329263,0.9758592872686207
20,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.040358058355531,0.1856973132964268,0.8660477035004204
20,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.521005728472371,0.7004420875360147,0.4947378369409392
20,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.5628518153997613,1.227650448300225,0.11443739314607626
20,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.0374630691782483,1.3530645066609364,0.023970273118697594
20,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.380447101535207,1.3832821323365483,0.0021728637638754877
20,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599454,1.3862943611198906,0.0
21,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6898548916016082,0.012764650587985926,0.9907922509490161
21,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.378325985199031,0.04420489989756593,0.9681129050673943
21,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.0292445443122644,0.20331104940636324,0.8533420786317544
21,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.53756520132841,0.6928326658572623,0.5002268744009237
